alkaline_pool,#4d1d1d
bedrock,#beb9b9
blister_mat,#794a59
desiccated_mat,#9e7380
scoured_mat,#ad9276
poly_mat,#cb6753
eps_mat,#db845e
crusty_bay,#f6904f
sand_covered_hardground,#e2bda5
sand_covered_mat,#bf9289
mangrove,#546658
stripped_mangrove,#677169
overgrown_channel,#768f7b
outwash_sand,#dbdbc9
overwash_fans,#ffef9e
sand_bar,#fff6b7
sand_flat,#ffe7b8
other_channel,#a9b3b6
ocean,#e5ebf7
deep_channel,#8faff5
grainy_channel,#a1bcf7
shallow_channel,#c8d5f5
